"","SYMBOL","ENTREZID","ENSEMBL"
"1","AGPAT4","56895","ENSG00000026652"
"2","ZNF436-AS1","148898","ENSG00000249087"
"4","BACH1","571","ENSG00000156273"
"5","CAMK4","814","ENSG00000152495"
"6","CAMK2G","818","ENSG00000148660"
"7","CMKLR1","1240","ENSG00000174600"
"8","SLC31A1","1317","ENSG00000136868"
"9","CYLD","1540","ENSG00000083799"
"10","TIMM8A","1678","ENSG00000126953"
"11","CELSR3","1951","ENSG00000008300"
"12","ETV3","2117","ENSG00000117036"
"13","HLA-DOB","3112","ENSG00000241106"
"14","HLA-DOB","3112","ENSG00000243612"
"15","HLA-DOB","3112","ENSG00000241910"
"16","HLA-DOB","3112","ENSG00000243496"
"17","HLA-DOB","3112","ENSG00000241386"
"18","HLA-DOB","3112","ENSG00000239457"
"19","HTR7","3363","ENSG00000148680"
"20","LDLR","3949","ENSG00000130164"
"21","LMAN1","3998","ENSG00000074695"
"22","MECP2","4204","ENSG00000169057"
"23","NFYA","4800","ENSG00000001167"
"24","PAFAH1B1","5048","ENSG00000007168"
"25","PPIC","5480","ENSG00000168938"
"26","PPP1R3D","5509","ENSG00000132825"
"27","MAPK1","5594","ENSG00000100030"
"28","PTAFR","5724","ENSG00000169403"
"29","QSOX1","5768","ENSG00000116260"
"30","PTPN12","5782","ENSG00000127947"
"31","PURA","5813","ENSG00000185129"
"32","RPS27","6232","ENSG00000177954"
"33","SIX1","6495","ENSG00000126778"
"34","SREBF1","6720","ENSG00000072310"
"35","STK4","6789","ENSG00000101109"
"36","TBX15","6913","ENSG00000092607"
"37","TEAD1","7003","ENSG00000187079"
"38","WT1","7490","ENSG00000184937"
"39","GAN","8139","ENSG00000261609"
"40","PEX3","8504","ENSG00000034693"
"41","KLF7","8609","ENSG00000118263"
"42","IL1RL2","8808","ENSG00000115598"
"43","ALDH1A2","8854","ENSG00000128918"
"44","GPRIN2","9721","ENSG00000204175"
"45","MFN2","9927","ENSG00000116688"
"46","KLF2","10365","ENSG00000127528"
"47","SEMA4D","10507","ENSG00000187764"
"48","NEBL","10529","ENSG00000078114"
"49","POP4","10775","ENSG00000105171"
"50","CPSF6","11052","ENSG00000111605"
"51","IKZF2","22807","ENSG00000030419"
"52","DNPEP","23549","ENSG00000123992"
"53","RABGAP1","23637","ENSG00000011454"
"54","ARHGEF26","26084","ENSG00000114790"
"55","ARHGEF26","26084","ENSG00000277101"
"56","FGFR1OP2","26127","ENSG00000111790"
"57","POLL","27343","ENSG00000166169"
"58","BRD7","29117","ENSG00000166164"
"59","MRPL30","51263","ENSG00000185414"
"60","CLIC5","53405","ENSG00000112782"
"61","CNNM2","54805","ENSG00000148842"
"62","RBM41","55285","ENSG00000089682"
"63","SVOP","55530","ENSG00000166111"
"64","KANSL3","55683","ENSG00000114982"
"65","IPO9","55705","ENSG00000198700"
"66","DPYSL5","56896","ENSG00000157851"
"67","THOC2","57187","ENSG00000125676"
"69","NUFIP2","57532","ENSG00000108256"
"70","PHF12","57649","ENSG00000109118"
"71","RMND5A","64795","ENSG00000153561"
"72","SH3TC2","79628","ENSG00000169247"
"73","YRDC","79693","ENSG00000196449"
"74","ZC2HC1C","79696","ENSG00000119703"
"75","TUBAL3","79861","ENSG00000178462"
"76","KLHL15","80311","ENSG00000174010"
"77","SRCIN1","80725","ENSG00000277363"
"78","SRCIN1","80725","ENSG00000273608"
"79","ELOF1","84337","ENSG00000130165"
"80","OSBPL1A","114876","ENSG00000141447"
"81","ZNF354B","117608","ENSG00000178338"
"82","RPTN","126638","ENSG00000215853"
"84","C2orf15","150590","ENSG00000273045"
"85","ARL6IP6","151188","ENSG00000177917"
"86","SPIN3","169981","ENSG00000204271"
"87","ANKRD18A","253650","ENSG00000180071"
"89","TMEM119","338773","ENSG00000183160"
"90","FAM71F2","346653","ENSG00000205085"
"92","TRAPPC3L","100128327","ENSG00000173626"
"94","BAIAP2L1","55971","ENSG00000006453"
"95","LL22NC03-63E9.3","648691","ENSG00000220891"
"96","LL22NC03-63E9.3","648691","ENSG00000281296"
"97","ACADL","33","ENSG00000115361"
"98","ADM","133","ENSG00000148926"
"99","ABCC6","368","ENSG00000091262"
"100","ABCC6","368","ENSG00000275331"
"101","BMP2","650","ENSG00000125845"
"102","CCNB1","891","ENSG00000134057"
"103","ENTPD5","957","ENSG00000187097"
"104","CYP4A11","1579","ENSG00000187048"
"105","EFNA1","1942","ENSG00000169242"
"106","GDI1","2664","ENSG00000203879"
"107","HCFC1","3054","ENSG00000172534"
"108","HLA-B","3106","ENSG00000234745"
"109","HLA-B","3106","ENSG00000206450"
"110","HLA-B","3106","ENSG00000223532"
"111","HLA-B","3106","ENSG00000228964"
"112","HLA-B","3106","ENSG00000224608"
"113","HLA-B","3106","ENSG00000232126"
"114","HOXC6","3223","ENSG00000197757"
"115","SP110","3431","ENSG00000135899"
"116","LY6E","4061","ENSG00000160932"
"117","LY6E","4061","ENSG00000278032"
"118","MEF2D","4209","ENSG00000116604"
"119","MIF","4282","ENSG00000240972"
