"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT753699","hsa","hsa","hsa-miR-4433b-5p","CD59","0","0","0","0","0","0","0","1","1","1"
"MIRT754248","hsa","hsa","hsa-miR-4433b-5p","ZNF487","0","0","0","0","0","0","0","1","1","1"
"MIRT693723","hsa","hsa","hsa-miR-4433b-5p","ACACA","0","0","0","0","1","0","0","1","2","3"
"MIRT452071","hsa","hsa","hsa-miR-4433b-5p","ATP6V0B","0","0","0","0","1","0","0","1","2","3"
"MIRT545751","hsa","hsa","hsa-miR-4433b-5p","CA12","0","0","0","0","1","0","0","1","2","3"
"MIRT645431","hsa","hsa","hsa-miR-4433b-5p","ATF6B","0","0","0","0","1","0","0","1","2","3"
"MIRT624144","hsa","hsa","hsa-miR-4433b-5p","DIAPH1","0","0","0","0","1","0","0","1","2","3"
"MIRT502532","hsa","hsa","hsa-miR-4433b-5p","EEF2","0","0","0","0","1","0","0","1","2","7"
"MIRT557833","hsa","hsa","hsa-miR-4433b-5p","FOXC1","0","0","0","0","1","0","0","1","2","5"
"MIRT640771","hsa","hsa","hsa-miR-4433b-5p","GLP1R","0","0","0","0","1","0","0","1","2","3"
"MIRT571898","hsa","hsa","hsa-miR-4433b-5p","MKNK2","0","0","0","0","1","0","0","1","2","3"
"MIRT566606","hsa","hsa","hsa-miR-4433b-5p","NR3C1","0","0","0","0","1","0","0","1","2","3"
"MIRT475777","hsa","hsa","hsa-miR-4433b-5p","HDGF","0","0","0","0","1","0","0","1","2","3"
"MIRT623628","hsa","hsa","hsa-miR-4433b-5p","IGF1R","0","0","0","0","1","0","0","1","2","3"
"MIRT638560","hsa","hsa","hsa-miR-4433b-5p","KCNJ10","0","0","0","0","1","0","0","1","2","3"
"MIRT547218","hsa","hsa","hsa-miR-4433b-5p","PAK2","0","0","0","0","1","0","0","1","2","3"
"MIRT717321","hsa","hsa","hsa-miR-4433b-5p","PGK1","0","0","0","0","1","0","0","1","2","3"
"MIRT639970","hsa","hsa","hsa-miR-4433b-5p","POU5F1B","0","0","0","0","1","0","0","1","2","3"
"MIRT724757","hsa","hsa","hsa-miR-4433b-5p","PSG4","0","0","0","0","1","0","0","1","2","3"
"MIRT521373","hsa","hsa","hsa-miR-4433b-5p","RDX","0","0","0","0","1","0","0","1","2","5"
"MIRT525124","hsa","hsa","hsa-miR-4433b-5p","RPS11","0","0","0","0","1","0","0","1","2","3"
"MIRT560735","hsa","hsa","hsa-miR-4433b-5p","RPS17","0","0","0","0","1","0","0","1","2","3"
"MIRT243401","hsa","hsa","hsa-miR-4433b-5p","SKIL","0","0","0","0","1","0","0","1","2","11"
"MIRT559920","hsa","hsa","hsa-miR-4433b-5p","SOD2","0","0","0","0","1","0","0","1","2","3"
"MIRT107580","hsa","hsa","hsa-miR-4433b-5p","VLDLR","0","0","0","0","1","0","0","1","2","3"
"MIRT532949","hsa","hsa","hsa-miR-4433b-5p","ZNF24","0","0","0","0","1","0","0","1","2","5"
"MIRT550437","hsa","hsa","hsa-miR-4433b-5p","ZNF84","0","0","0","0","1","0","0","1","2","3"
"MIRT532273","hsa","hsa","hsa-miR-4433b-5p","TNFSF14","0","0","0","0","1","0","0","1","2","3"
"MIRT662461","hsa","hsa","hsa-miR-4433b-5p","BRSK2","0","0","0","0","1","0","0","1","2","3"
"MIRT715100","hsa","hsa","hsa-miR-4433b-5p","SORBS3","0","0","0","0","1","0","0","1","2","3"
"MIRT661040","hsa","hsa","hsa-miR-4433b-5p","RABAC1","0","0","0","0","1","0","0","1","2","3"
