"","hsa-miR-106b-5p","hsa-miR-18a-5p","hsa-miR-190a-5p","hsa-miR-21-5p","hsa-miR-22-3p","hsa-miR-3200-5p","hsa-miR-3613-5p","hsa-miR-3928-3p","hsa-miR-423-5p","hsa-miR-4301","hsa-miR-4433b-5p","hsa-miR-4677-5p","hsa-miR-485-3p","hsa-miR-548b-5p","hsa-miR-628-3p","hsa-miR-654-5p","hsa-miR-6815-5p"
"PPMI.IR1.10874.BL.PP0047.6931.5628.SL.0657",459.979465026202,13.2261923540311,4.02388650565517,323.540849163565,241.552039307832,67.4892356961152,5.55194467235967,1.27338180558708,3787.34310144931,1.86762664819438,55.6892309643416,0.42446060186236,9.54187432986585,0.339568481489888,15.144754274449,0.0848921203724719,0.814964355575731
"PPMI.IR1.10874.V02.302529.5628.SL.3735",178.063269736749,2.48220237728266,1.15174190305916,65.2521360940066,152.149076917918,58.1033932474325,0.814162379748713,3.25664951899485,6017.07699634237,3.91195094659747,170.676235461956,0.0595728570547839,19.6193275900422,0.198576190182613,4.82540142143749,0.0397152380365226,1.2311723791322
"PPMI.IR1.10874.V04.425765.5628.SL.3717",428.912291569609,10.3645586281557,2.45476388561582,225.082965511851,522.277242774655,91.3298050776553,1.63650925707721,3.56675094491188,9015.59243990211,4.97247043496538,147.495642016062,0.0839235516449854,19.6381110849266,0.251770654934956,5.55993529648028,0.335694206579942,1.11198705929606
"PPMI.IR1.12224.BL.3169263.5628.SL.0469",599.201857897979,16.5380974542046,2.00530064499211,364.53661949806,909.73054878878,72.7315784498262,1.23923073566928,1.82504890162203,4014.00354164033,3.13187404105509,88.7739836097631,0.428097890503934,7.72829349699206,0.180251743370077,6.57918863300782,0.202783211291337,0.337972018818895
"PPMI.IR1.12224.V02.3449072.5628.SL.3558",432.548440035656,12.3571844155309,2.56070931804728,295.327310432774,972.928584381744,66.3905003009323,1.15114455581942,1.6679849686363,7245.13938510517,4.44012900101776,94.135433370784,0.44636217470549,28.4732081970028,0.117463730185655,8.03451914469881,0.328898444519834,0.634304143002538
"PPMI.IR1.12224.V04.PP0048.4919.5628.SL.3618",234.555397517042,4.58894920028683,0.792140040525702,188.611275166551,1001.48353261498,81.8362607384484,0.355097259546004,1.69354077629633,5845.69303216776,4.39774298360821,164.573922212667,0.218521390489849,8.65891009816026,0.191206216678618,8.44038870767041,0.273151738112311,0.327782085734773
"PPMI.IR1.12224.V06.968430.5628.SL.3644",402.51635008992,8.72017674562793,3.09990827124331,359.683704498567,1323.68778754499,73.1039237531467,2.34514799650581,1.83298923864822,6218.51033714843,3.76032351163863,204.728724522548,0.539114481955359,7.8171599883527,0.188690068684376,15.796054321292,0.229123654831028,0.862583171128574
"PPMI.IR1.12593.BL.3149216.5628.SL.1329",270.89050940142,3.69105588664491,2.00018112293048,83.5951986841255,414.016872022662,61.9437535390018,1.44342967634159,1.42280925239385,5050.02430649657,4.24780733323381,62.8716726166499,0.123722543686422,42.2306282449652,0.0206204239477369,7.46459346908077,0.371167631059265,0.948539501595899
"PPMI.IR1.13039.BL.PP0048.8378.5628.SL.1043",314.838852953482,4.80439941158813,1.43600130014258,150.549667170503,1268.89329699265,104.402613043699,0.638222800063367,1.25871718901386,7061.04886214552,4.4498311893307,43.5941629265506,0,12.7644560012673,0.26592616669307,10.9207012455287,0.425481866708912,0.620494388950496
"PPMI.IR1.13039.V02.353820.5628.SL.2705",747.925246390495,18.6952725553961,3.00153458458194,343.089696039548,1436.99182887952,103.881682670198,1.7437486634238,3.94487402545056,8384.54388065853,3.71618567614907,51.5692227674841,0.142930218313426,19.1526492539991,0.428790654940278,7.20368300299667,0.428790654940278,1.25778592115815
