"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT737975","hsa","hsa","hsa-miR-4301","AGPAT4","0","0","0","0","0","0","0","1","1","1"
"MIRT753786","hsa","hsa","hsa-miR-4301","ZNF436-AS1","0","0","0","0","0","0","0","1","1","2"
"MIRT509511","hsa","hsa","hsa-miR-4301","","0","0","0","0","1","0","0","0","1","3"
"MIRT481303","hsa","hsa","hsa-miR-4301","ATP5G3","0","0","0","0","1","0","0","1","2","15"
"MIRT350957","hsa","hsa","hsa-miR-4301","BACH1","0","0","0","0","1","0","0","1","2","3"
"MIRT719224","hsa","hsa","hsa-miR-4301","CAMK4","0","0","0","0","1","0","0","1","2","3"
"MIRT720326","hsa","hsa","hsa-miR-4301","CAMK2G","0","0","0","0","1","0","0","1","2","3"
"MIRT626464","hsa","hsa","hsa-miR-4301","CMKLR1","0","0","0","0","1","0","0","1","2","3"
"MIRT565623","hsa","hsa","hsa-miR-4301","SLC31A1","0","0","0","0","1","0","0","1","2","3"
"MIRT668816","hsa","hsa","hsa-miR-4301","CYLD","0","0","0","0","1","0","0","1","2","3"
"MIRT652587","hsa","hsa","hsa-miR-4301","TIMM8A","0","0","0","0","1","0","0","1","2","3"
"MIRT669067","hsa","hsa","hsa-miR-4301","CELSR3","0","0","0","0","1","0","0","1","2","3"
"MIRT658513","hsa","hsa","hsa-miR-4301","ETV3","0","0","0","0","1","0","0","1","2","3"
"MIRT526743","hsa","hsa","hsa-miR-4301","HLA-DOB","0","0","0","0","1","0","0","1","2","3"
"MIRT528505","hsa","hsa","hsa-miR-4301","HTR7","0","0","0","0","1","0","0","1","2","5"
"MIRT081134","hsa","hsa","hsa-miR-4301","LDLR","0","0","0","0","1","0","0","1","2","5"
"MIRT621232","hsa","hsa","hsa-miR-4301","LMAN1","0","0","0","0","1","0","0","1","2","3"
"MIRT229436","hsa","hsa","hsa-miR-4301","MECP2","0","0","0","0","1","0","0","1","2","3"
"MIRT626158","hsa","hsa","hsa-miR-4301","NFYA","0","0","0","0","1","0","0","1","2","3"
"MIRT644270","hsa","hsa","hsa-miR-4301","PAFAH1B1","0","0","0","0","1","0","0","1","2","3"
"MIRT555423","hsa","hsa","hsa-miR-4301","PPIC","0","0","0","0","1","0","0","1","2","3"
"MIRT707930","hsa","hsa","hsa-miR-4301","PPP1R3D","0","1","1","0","1","0","0","1","4","3"
"MIRT715297","hsa","hsa","hsa-miR-4301","MAPK1","0","0","0","0","1","0","0","1","2","3"
"MIRT654649","hsa","hsa","hsa-miR-4301","PTAFR","0","0","0","0","1","0","0","1","2","3"
"MIRT722484","hsa","hsa","hsa-miR-4301","QSOX1","0","0","0","0","1","0","0","1","2","3"
"MIRT687146","hsa","hsa","hsa-miR-4301","PTPN12","0","0","0","0","1","0","0","1","2","3"
"MIRT654591","hsa","hsa","hsa-miR-4301","PURA","0","0","0","0","1","0","0","1","2","3"
"MIRT528758","hsa","hsa","hsa-miR-4301","RPS27","0","0","0","0","1","0","0","1","2","7"
"MIRT565661","hsa","hsa","hsa-miR-4301","SIX1","0","0","0","0","1","0","0","1","2","3"
"MIRT721596","hsa","hsa","hsa-miR-4301","SREBF1","0","0","0","0","1","0","0","1","2","3"
"MIRT712175","hsa","hsa","hsa-miR-4301","STK4","0","0","0","0","1","0","0","1","2","3"
"MIRT496554","hsa","hsa","hsa-miR-4301","TBX15","0","0","0","0","1","0","0","1","2","3"
"MIRT722614","hsa","hsa","hsa-miR-4301","TEAD1","0","0","0","0","1","0","0","1","2","3"
"MIRT528038","hsa","hsa","hsa-miR-4301","WT1","0","0","0","0","1","0","0","1","2","3"
"MIRT623844","hsa","hsa","hsa-miR-4301","GAN","0","0","0","0","1","0","0","1","2","3"
"MIRT446022","hsa","hsa","hsa-miR-4301","PEX3","0","0","0","0","1","0","0","1","2","3"
"MIRT656842","hsa","hsa","hsa-miR-4301","KLF7","0","0","0","0","1","0","0","1","2","3"
"MIRT570138","hsa","hsa","hsa-miR-4301","IL1RL2","0","0","0","0","1","0","0","1","2","3"
"MIRT632087","hsa","hsa","hsa-miR-4301","ALDH1A2","0","0","0","0","1","0","0","1","2","3"
"MIRT528267","hsa","hsa","hsa-miR-4301","GPRIN2","0","0","0","0","1","0","0","1","2","3"
"MIRT512556","hsa","hsa","hsa-miR-4301","MFN2","0","0","0","0","1","0","0","1","2","7"
